RED,IR
108410,77397
108373,77382
108232,77385
108385,77407
108389,77416
108344,77434
108440,77444
108467,77497
108478,77504
108487,77466
108322,77399
108300,77417
108393,77421
108350,77404
108393,77387
108404,77460
108504,77497
108491,77501
108515,77450
108340,77463
108468,77496
108491,77466
108444,77523
108522,77468
108520,77496
108503,77482
108550,77461
108388,77419
108405,77452
108477,77492
108480,77539
108496,77488
108540,77513
108507,77505
108617,77542
108495,77454
108449,77489
108490,77506
108341,77466
108394,77429
108367,77402
108305,77407
108288,77361
108275,77276
108074,77226
108076,77172
108000,77156
107964,77191
107971,77150
107928,77141
107827,77069
107785,76887
107314,76668
107224,76552
106994,76413
106884,76403
106777,76318
106812,76305
106796,76311
106837,76290
106680,76270
106728,76233
106774,76268
106809,76329
106897,76325
106921,76342
106999,76400
107082,76383
106991,76324
107037,76298
107129,76258
107113,76312
107088,76291
107160,76255
107132,76242
107190,76239
107214,76284
107276,76345
107256,76266
107281,76352
107388,76420
107475,76430
107550,76445
107506,76433
107417,76441
107424,76448
107399,76372
107378,76422
107398,76400
107461,76425
107522,76464
107462,76379
107340,76388
107399,76450
107383,76464
107361,76409
107361,76463
107438,76425
107497,76453
107414,76412
107415,76431
107460,76517
107369,76468
107416,76498
107423,76501
107452,76522
107545,76507
107410,76502
107388,76511
107417,76516
107359,76478
107362,76471
107362,76478
107386,76460
107376,76445
107306,76441
107270,76375
107282,76451
107241,76466
107289,76439
107380,76474
107439,76577
107591,76638
107563,76628
107629,76716
107715,76783
107647,76786
107720,76753
107786,76794
107822,76848
107881,76829
107851,76785
107732,76708
107625,76584
106899,76109
106745,76017
106954,76119
106952,76240
107191,76303
107262,76245
107251,76215
107523,76501
107947,76908
108385,77216
108972,77565
109092,77739
109113,77783
109214,77859
109284,77950
109345,77931
109418,78024
109450,78073
109338,77999
109327,78021
109327,78042
109296,78032
109347,78110
109395,78034
109432,78065
109215,78016
109214,78023
109297,78034
109213,78022
109251,78063
109305,78134
109322,78030
109364,78069
109158,77995
109043,77912
108951,77812
108780,77635
108596,77438
108277,77241
108117,77102
108120,77187
108167,77152
108116,77121
108099,77072
107978,77086
108105,77209
108325,77286
108320,77220
108381,77349
108338,77300
108269,77300
108378,77347
108425,77407
108475,77431
108434,77452
108585,77576
109032,77840
108994,77896
109204,78044
109349,78099
109316,78055
109311,78034
109305,78030
109328,78016
109154,77963
109078,77983
109127,77953
109185,77925
109190,77990
109225,77955
109187,77907
109104,77965
109165,78001
109186,77971
109142,77967
109229,78004
109263,78029
109256,77906
109105,77924
109156,78008
109113,77970
109165,77971
109186,77994
109207,78021
109218,77981
109074,77882
109086,77894
109100,77965
109069,77959
109161,77961
109183,77941
109215,77962
109034,77878
109049,77923
109091,77885
109058,77881
109012,77888
109128,77901
109139,77899
109054,77821
108913,77794
108984,77861
108970,77819
108974,77813
108945,77794
108959,77799
108850,77728
108808,77753
108870,77707
108813,77742
108808,77766
108861,77727
108894,77700
108693,77695
108760,77699
108762,77676
108545,77450
108337,77387
108254,77385
108276,77368
108317,77403
108288,77403
108179,77278
108128,77379
108358,77526
108629,77580
108985,77884
109254,78032
109584,78239
109659,78280
109716,78304
109589,78228
109596,78302
109633,78248
109555,78262
109555,78258
109574,78207
109393,78104
109328,78100
109258,78024
109180,78010
109202,78058
109107,77882
108808,77806
108706,77778
108838,77786
108828,77853
108883,77846
108960,77919
108947,77831
108774,77789
108726,77836
108621,77786
108681,77762
108692,77780
108704,77782
108667,77797
108639,77674
108550,77722
108514,77788
108571,77782
108647,77826
108774,77934
108863,77970
109013,78047
108992,78063
109116,78128
109048,78122
109106,78163
109186,78199
109198,78179
109237,78217
109162,78135
109098,78148
109080,78149
109029,78126
109054,78144
109128,78159
109143,78150
109149,78152
109117,78078
108984,78131
108980,78105
109000,78060
108963,78094
109045,78116
109067,78147
109118,78110
109178,78147
109115,78156
109002,78140
109008,78107
108923,78071
108867,78026
108546,77787
108428,77682
108434,77789
108641,77918
108653,77922
108737,77986
108838,77974
108725,77933
108755,77922
108768,77965
108895,78037
108987,78081
108987,78094
109088,78176
109192,78180
109199,78200
109264,78235
109316,78255
109368,78330
109424,78354
109315,78264
109286,78270
109303,78294
109302,78289
109389,78327
109405,78322
109435,78347
109470,78362
109412,78303
109332,78281
109347,78306
109352,78336
109424,78403
109461,78348
109497,78401
109499,78382
109553,78418
109452,78350
109343,78316
109323,78294
109225,78292
109205,78227
109264,78224
109211,78214
109213,78234
109290,78242
109194,78258
109344,78357
109508,78439
109602,78408
109642,78490
109645,78458
109683,78515
109641,78430
109568,78412
109556,78416
109561,78457
109594,78457
109624,78472
109574,78472
109550,78403
109512,78424
109502,78421
109463,78384
109520,78408
109545,78444
109561,78418
109605,78405
109399,78337
109364,78327
109394,78338
109322,78259
109341,78269
109382,78347
109398,78293
109478,78332
109334,78293
109320,78340
109357,78315
109299,78287
109369,78294
109394,78332
109347,78288
109465,78332
109243,78220
109217,78212
109204,78177
109178,78204
109204,78152
109205,78223
109167,78193
109315,78194
109084,78096
109031,78093
109021,78098
108985,78079
109025,78100
109058,78139
109018,78088
109090,78074
108905,78019
108878,78013
108828,77976
108800,77912
108825,77960
108860,78040
108952,78073
109091,78110
109041,78063
109021,78094
109114,78125
109052,78106
109103,78097
109129,78138
109078,78163
109204,78161
109035,78051
108925,78029
108954,77993
108900,78023
108881,77978
108919,78003
108886,78014
108959,78029
108801,77866
108590,77722
108054,77240
107597,76964
106998,76819
106992,76745
107620,77204
107957,77495
108581,77788
108751,77957
109185,78079
109070,78023
109008,78011
109042,78012
109189,78062
109143,78140
109528,78389
109676,78487
109827,78547
109840,78504
110045,78649
109927,78643
110004,78691
110054,78736
110129,78798
110228,78847
110308,78920
110399,78918
110243,78869
110156,78843
110186,78861
110252,78875
110325,78922
110327,78941
110367,78977
110429,78988
110450,78930
110254,78911
110277,78936
110328,78941
110339,78982
110390,78921
110425,78971
110480,79021
110400,78940
110357,78960
110295,78966
110347,78964
110404,78990
110408,78957
110473,79014
110544,79092
110560,79017
110430,78976
110382,78956
110351,78959
110329,78939
110350,78982
110391,78976
110370,78988
110449,79005
110452,78911
110323,78910
110316,78953
110302,78872
110337,78960
110396,79001
110471,78998
110575,79012
110443,78955
110477,79039
110571,79035
110532,79067
110615,79027
110636,79089
110648,79102
110736,79041
110533,79015
110524,79022
110546,79016
110553,79065
110608,78986
110600,79070
110566,78981
110443,78950
110462,78964
110429,78960
110452,78992
110485,79027
110513,78957
110416,78920
110270,78875
110128,78813
110152,78744
110124,78800
110168,78782
110161,78862
110192,78812
110071,78767
110053,78847
110117,78795
110227,78798
110253,78821
110209,78743
110053,78658
110081,78736
110063,78705
110042,78731
110103,78751
110165,78728
109957,78613
109965,78635
109984,78607
109952,78658
109937,78673
110040,78698
110045,78612
109851,78594
109855,78557
109858,78648
109862,78643
109895,78647
109963,78678
109954,78699
110086,78753
110080,78688
109943,78627
109899,78636
109897,78666
109945,78691
110059,78696
110032,78735
110121,78799
110092,78712
109990,78737
109990,78697
110000,78702
110042,78722
110088,78753
110062,78768
110153,78826
110210,78773
110043,78738
109978,78683
110007,78692
109986,78714
110007,78721
110048,78732
110072,78780
110188,78792
110018,78754
110040,78722
110105,78734
110032,78783
110201,78814
110265,78835
110326,78909
110384,78848
110324,78846
110408,78967
110371,78909
110488,78933
110533,78963
110519,78961
110431,78870
110360,78865
110373,78833
110352,78894
110333,78882
110433,78902
110428,78809
110249,78798
110217,78755
110198,78822
110217,78817
110252,78784
110260,78793
110245,78799
110248,78712
110094,78692
110058,78674
110008,78638
109981,78644
109985,78639
110059,78697
110130,78735
110140,78706
109996,78640
109958,78665
109931,78661
109986,78681
109961,78655
110023,78718
110053,78667
